StarID,Hip,HD,HR,Gliese,BayerFlamsteed,ProperName,RA,Dec,Distance,Mag,AbsMag,Spectrum,ColorIndex
13003,18560,25001, , ,,,3.97256909,1.44585997,255.1020408,7.59,0.556430335,K5          ,1.637
13389,19115,25408, , ,,,4.09829166,61.79443247,5882.352941,7.59,-6.257755393,R8v         ,2.045
14157,20174,27361, , ,,,4.32460139,11.96617591,125.3132832,7.59,2.100014457,F5          ,0.508
15909,22523,30651, , ,,,4.84669244,31.56590486,268.0965147,7.59,0.448544159,K0          ,1.552
15999,22652,31021, , ,,,4.87281242,-3.17289144,138.3125864,7.59,1.885691486,A0          ,0.124
16461,23294,32956, , ,,,5.01097001,-70.62405962,107.5268817,7.59,2.432414743,F0/F2IV/V   ,0.345
16742,23673,32685, , ,,,5.088922,7.56250212,268.0965147,7.59,0.448544159,B9          ,-0.05
16792,23740,32868, , ,,,5.10283185,-1.24391109,176.9911504,7.59,1.350242239,G5          ,0.959
17146,24212,33755, , ,,,5.19924918,-10.9610074,208.3333333,7.59,0.996206187,A0          ,0.001
17392,24563,34263, , ,,,5.26983599,1.75698009,295.8579882,7.59,0.234583501,K0          ,1.203
17791,25134,35062, , ,,,5.37929564,19.01158628,261.0966057,7.59,0.50599387,G0III       ,1.073
17954,25344,35934, , ,,,5.42046456,-52.67693657,178.8908766,7.59,1.327059039,G8/K0III    ,0.946
18190,25663,36417, , ,,,5.48105929,-50.71532887,408.1632653,7.59,-0.464169578,K3III       ,1.438
18325,25844,36262, , ,,,5.51710292,12.09676825,246.3054187,7.59,0.632630168,B3V         ,-0.099
18858,26534,37548, , ,,,5.6438339,-16.9190388,55.92841163,7.59,3.851837572,G3V         ,0.607
19203,26975,38471, , ,,,5.72407631,-49.84243769,460.8294931,7.59,-0.727701331,Ap...       ,-0.135
19688,27598,38817, , ,,,5.84370432,44.01149832,135.6852103,7.59,1.927337439,A2          ,0.175
19784,27729,39344, , ,,,5.87137217,7.3294483,226.7573696,7.59,0.812192947,K0          ,1.332
19867,27841,39455, , ,,,5.89079394,18.16997032,671.1409396,7.59,-1.544068658,F5II        ,0.494
20010,28026,40810, , ,,,5.92729397,-68.0469843,235.8490566,7.59,0.726829283,K0III       ,1.178
20029,28051,40508, , ,,,5.93185596,-56.55512306,223.2142857,7.59,0.84639007,K0III       ,0.969
20681,28914,40858, , ,,,6.10333689,64.08182492,80.51529791,7.59,3.060607979,F5          ,0.549
21033,29344,42421, , ,,,6.18698803,15.56196322,214.5922747,7.59,0.931929583,G5          ,1.08
21053,29364,42456, , ,,,6.18930837,14.47507852,1265.822785,7.59,-2.921864544,G5Ib        ,1.311
21352,29733,43502, , ,,,6.26160684,-20.20170411,378.7878788,7.59,-0.301980366,K1III       ,1.188
21464,29871,43204, , ,,,6.28939737,45.86061974,166.6666667,7.59,1.480756252,K2          ,0.99
21974,30486,44614, , ,,,6.40855466,38.56939367,44.86316734,7.59,4.330550342,G0          ,0.629
22204,30774,45376, , ,,,6.46634177,23.66846154,180.8318264,7.59,1.303625657,G5          ,0.991
22222,30796,45715, , ,,,6.47107616,-19.7970283,174.5200698,7.59,1.38077311,K0III       ,1.017
22538,31182,45836, , ,,,6.54315557,50.95774163,169.4915254,7.59,1.444260058,K0          ,1.326
22549,31195,46340, , ,,,6.5445183,-5.3406109,204.0816327,7.59,1.0409804,B8          ,0.058
22657,31333,45767, , ,,,6.57049029,65.28675379,64.06149904,7.59,3.557014515,F2          ,0.44
22794,31517,46949, , ,,,6.59938566,-3.977636,227.7904328,7.59,0.802322601,A2          ,0.16
23040,31842,47690, , ,,,6.65758583,-12.03514482,1111.111111,7.59,-2.638787453,K0          ,1.204
23053,31858,48446, , ,,,6.65984236,-60.40100486,293.255132,7.59,0.253771895,G8III       ,0.998
23122,31948,48166, , ,,,6.67600145,-34.21243027,104.3841336,7.59,2.496827545,A5m...      ,0.329
23218,32061,47607, , ,,,6.69838543,47.79359057,108.8139282,7.59,2.406577557,A2          ,0.307
23270,32131,48352, , ,,,6.71029276,-10.74961325,169.4915254,7.59,1.444260058,A2          ,0.146
23666,32624,49435, , ,,,6.80611503,-1.81795586,462.962963,7.59,-0.737731244,K5III       ,1.536
23837,32841,50072, , ,,,6.84589453,-20.83586051,909.0909091,7.59,-2.203036574,B5III       ,-0.105
23916,32952,50379, , ,,,6.86371712,-26.58178361,347.2222222,7.59,-0.113037561,B2V         ,-0.14
24300,33442,51826, , ,,,6.95338044,-36.88680758,421.9409283,7.59,-0.53625827,B4IV        ,-0.046
24340,33494,51047, , ,,,6.96199735,40.82909129,179.5332136,7.59,1.319275976,K0          ,1
24505,33706,51833, , ,,,7.00286081,30.28627614,378.7878788,7.59,-0.301980366,G8III       ,1.345
24648,33892,53348, , ,,,7.03526425,-50.42994656,160.5136437,7.59,1.562440233,B9V         ,-0.039
25429,34906,55633, , ,,,7.22243343,-8.86252415,279.3296089,7.59,0.359415133,A5          ,0.248
25588,35107,56083, , ,,,7.25953327,-1.86012633,210.0840336,7.59,0.978034764,G0          ,0.7
26256,35969,58071, , ,,,7.41380127,20.00086514,298.5074627,7.59,0.215224035,A0          ,0.038
26382,36137,58690, , ,,,7.44418521,-4.31842193,467.2897196,7.59,-0.757931133,K0          ,1.114
26456,36234,59446, , ,,,7.46188375,-47.41402132,284.0909091,7.59,0.322713317,B7V         ,0.063
26529,36333,58183, , ,,,7.47848483,63.87477711,69.49270327,7.59,3.38030397,F5          ,0.412
26905,36832,61033, , ,,,7.5744631,-52.96883889,28.35270768,7.59,5.327027298,G5/G6V      ,0.724
27499,37562,62447, , ,,,7.70962136,-36.37482189,312.5,7.59,0.115749892,B8V         ,-0.107
27963,38158,63520, , ,,,7.81999545,-4.65881524,1470.588235,7.59,-3.247455436,K0          ,1.01
28440,38785,64767, , ,,,7.93879884,22.57203611,80.64516129,7.59,3.057108426,K0          ,1.06
28479,38832,64833, , ,,,7.94663815,26.10526525,244.4987775,7.59,0.64861654,K1III       ,1
29120,39658,67213, , ,,,8.10480315,-18.37313242,205.338809,7.59,1.027644806,A0V         ,0.056
29337,39937,67717, , ,,,8.15615183,1.31410934,335.5704698,7.59,-0.03891868,A0          ,-0.01
29386,39999,67789, , ,,,8.16850265,14.50822306,51.92107996,7.59,4.013281414,F5          ,0.523
29444,40073,63834, , ,,,8.18602463,84.40731522,243.902439,7.59,0.653919284,A0          ,0.046
29830,40577,69760, , ,,,8.2850591,-34.49725103,304.8780488,7.59,0.169369219,A1IV        ,0.04
29924,40694,69789, , ,,,8.30686048,-7.57130638,112.7395716,7.59,2.329618099,F0          ,0.244
30022,40826,70327, , ,,,8.33290074,-36.61122474,377.3584906,7.59,-0.29377063,A0III       ,0.032
30030,40835,69978, , ,,,8.33370151,16.22346993,680.2721088,7.59,-1.573413326,K5          ,1.544
30689,41677,71884, , ,,,8.49657518,0.27358236,217.8649237,7.59,0.899063428,K0          ,0.936
30826,41856,72467, , ,,,8.53385917,-29.37085507,96.8054211,7.59,2.660501608,K1III/IV    ,1.046
31090,42198,73241, , ,,,8.60465836,-31.33831157,549.4505495,7.59,-1.10964306,B5III       ,-0.095
31340,42510,73984, , ,,,8.66742006,-34.01984229,328.9473684,7.59,0.004367918,A4III       ,0.231
31402,42581,73940, , ,,,8.67882869,-11.92718651,83.12551953,7.59,2.991328137,G5          ,0.734
31446,42634,74014, , ,,,8.68848029,-4.80885163,33.54579,7.59,4.96180988,K0          ,0.76
31481,42688,73446, , ,,,8.70046182,63.45550256,427.3504274,7.59,-0.563920713,K5          ,1.54
32203,43609,76160, , ,,,8.88176197,-43.75320028,215.5172414,7.59,0.922589903,K0III       ,1.08
32287,43714,75895, , ,,,8.90258852,39.25472261,90.25270758,7.59,2.812698802,F2          ,0.38
32334,43776,76312, , ,,,8.91632443,-10.98554775,300.3003003,7.59,0.202221168,K0          ,1.158
32575,44078,76733, , ,,,8.97927573,23.96669976,141.4427157,7.59,1.837097069,A2          ,0.222
33060,44705,78029, , ,,,9.10900302,20.11930051,454.5454545,7.59,-0.697886596,K0          ,1.134
33395,45143,79097, , ,,,9.19758737,-6.97956469,307.6923077,7.59,0.149416805,M...        ,1.628
33428,45186,78768, , ,,,9.20769475,58.71155512,223.2142857,7.59,0.84639007,K0          ,1.043
34002,45927,80873, , ,,,9.36446233,-13.53717732,483.0917874,7.59,-0.830148273,K2III       ,1.328
34015,45944,80871, , ,,,9.36951338,-0.42586439,228.3105023,7.59,0.797370553,G5          ,0.909
34117,46070,81433, , ,,,9.39474567,-52.42702589,203.6659878,7.59,1.045407461,A9V         ,0.348
34127,46082,80792, , ,,,9.3973377,55.19343732,162.8664495,7.59,1.530841856,K0III-IV    ,1.06
35076,47309,83833, , ,,,9.64092059,-62.55590735,373.1343284,7.59,-0.26932603,B8V         ,-0.028
35358,47676,84464, , ,,,9.7212888,-60.02934504,588.2352941,7.59,-1.257755393,B5V         ,-0.06
35467,47827,84794, , ,,,9.7488374,-64.65341259,485.4368932,7.59,-0.840663898,K4/K5III    ,1.677
35994,48541,85672, , ,,,9.89977091,27.69546527,93.10986965,7.59,2.745021407,A0          ,0.159
36378,49070,86560, , ,,,10.01533427,53.12455444,50.91649695,7.59,4.055707417,F8          ,0.55
36393,49086,87367, , ,,,10.0183688,-72.31868742,79.55449483,7.59,3.086676388,F7IV/V      ,0.496
36445,49159,87017, , ,,,10.03278512,-14.39283658,280.1120448,7.59,0.353341081,M1III       ,1.597
36454,49169,87036, , ,,,10.03474023,-15.02905526,151.0574018,7.59,1.694289947,A2V         ,0.14
36532,49274,86941, , ,,,10.05835637,53.33531241,259.7402597,7.59,0.517303648,K0          ,1.108
37419,50471,89494, , ,,,10.30588775,-52.331589,645.1612903,7.59,-1.458341509,K2/K3III    ,1.429
37445,50504,89420, , ,,,10.31395926,-23.18136457,205.338809,7.59,1.027644806,K0III       ,1.034
37621,50742,89652, , ,,,10.36168043,48.04197552,47.32607667,7.59,4.214497485,G0          ,0.615
38022,51261,90566, , ,,,10.47102089,46.17766621,164.2036125,7.59,1.513086463,F8          ,0.577
38717,52197,92266, , ,,,10.66404707,37.83917976,110.0110011,7.59,2.382819416,K0          ,0.99
39092,52718,93328, , ,,,10.77822848,16.542903,301.2048193,7.59,0.195690419,K0          ,1.29
39212,52899,93719, , ,,,10.81922138,-5.4069193,180.5054152,7.59,1.307548824,K0          ,0.962
39565,53395,94731, , ,,,10.92172839,-52.65324348,116.9590643,7.59,2.249830574,A9V         ,0.315
39872,53837,95521, , ,,,11.01398564,-49.0196911,33.11258278,7.59,4.990034715,G5V         ,0.637
40150,54240,96198, , ,,,11.0971396,29.998441,258.3979328,7.59,0.528554825,K0          ,1.053
40464,54655,97003, , ,,,11.18787157,66.73884725,313.4796238,7.59,0.108953415,K0          ,1.198
40682,54958,98143, , ,,,11.25470577,-77.51835267,334.4481605,7.59,-0.031644058,B8III       ,0.521
41306,55868,99505, , ,,,11.45090421,21.85269772,32.50975293,7.59,5.029931656,G5          ,0.63
41307,55869,99602, , ,,,11.45140307,-47.76118777,173.6111111,7.59,1.392112417,K0III       ,1.07
41408,56010,99819, , ,,,11.47848568,-39.82066382,139.4700139,7.59,1.867595778,G8IV        ,0.844
42478,57560,102528, , ,,,11.79822202,-28.32317164,166.9449082,7.59,1.477134112,A2/A3m...   ,0.333
42556,57682,102769, , ,,,11.8302239,-46.01493018,384.6153846,7.59,-0.33513326,K1III       ,1.3
42931,58251,103740, , ,,,11.94675855,5.3448856,217.8649237,7.59,0.899063428,K0          ,1.009
42953,58278,103807, , ,,,11.95188424,-63.67671697,2325.581395,7.59,-4.242657722,F7Ib-II     ,0.646
43251,58715,104575, , ,,,12.04307524,8.06983044,549.4505495,7.59,-1.10964306,M...        ,1.603
43306,58794,104722, , ,,,12.05907102,-61.09829817,699.3006993,7.59,-1.633319813,B2Vne       ,-0.037
43564,59185,105424, , ,,,12.13761514,30.27537278,442.4778761,7.59,-0.639457804,K3IV        ,1.539
43738,59443,105934, , ,,,12.19262007,-27.07090632,606.0606061,7.59,-1.322580279,M2/M3III    ,1.561
43844,59592,106209, , ,,,12.22057893,11.51634383,326.7973856,7.59,0.018607132,K5          ,1.56
44398,60382,107716, , ,,,12.38062699,-45.65898161,126.4222503,7.59,2.080882417,A1IVm...    ,0.179
44512,60544,108026, , ,,,12.41131514,1.38389072,411.5226337,7.59,-0.481968632,M...        ,1.571
45008,61273,109270, , ,,,12.55683847,7.94615846,160.5136437,7.59,1.562440233,K5          ,1.122
45592,62162,110789, , ,,,12.73963883,21.99396394,65.01950585,7.59,3.524781677,F6V         ,0.479
45642,62227,110786, , ,,,12.75391592,-62.21765658,2222.222222,7.59,-4.143937431,A3/A4Ib     ,1.053
45839,62534,111232, , ,,,12.81436393,-68.42542528,28.87669651,7.59,5.287262458,G5V         ,0.701
46072,62887,111931, , ,,,12.88836878,-45.14193188,10000000,7.59,-7.41,K4III       ,1.51
46251,63173,112446, , ,,,12.94317204,9.31659142,196.8503937,7.59,1.119318561,K0          ,1.06
46377,63362,112742, , ,,,12.98321973,-8.73881012,102.2494888,7.59,2.541694274,K0          ,0.996
46894,64188,114164, , ,,,13.15540852,-41.01938817,200.8032129,7.59,1.076146714,K0III       ,1.096
47521,65101,115906, , ,,,13.34180394,-20.88075325,85.61643836,7.59,2.927214214,F3V         ,0.423
47524,65105,115982, , ,,,13.342474,8.24505748,606.0606061,7.59,-1.322580279,K2          ,1.211
47606,65225,116207, , ,,,13.36715656,2.75733312,218.3406114,7.59,0.89432739,M...        ,1.487
48948,67177,120004, , ,,,13.76680534,37.52513373,60.49606776,7.59,3.681364268,F8          ,0.558
49257,67629,120638, , ,,,13.85734055,-37.39233706,389.1050584,7.59,-0.360334383,K0III       ,1.077
49565,68085,121953, , ,,,13.94034818,65.35143992,53.87931034,7.59,3.932889859,F5          ,0.664
49639,68209,121880, , ,,,13.96447546,16.20222061,184.501845,7.59,1.259996433,A0V         ,0.062
49953,68678,122249, , ,,,14.05863745,-68.50371748,1639.344262,7.59,-3.483350825,B5III       ,-0.019
50081,68873,123106, , ,,,14.10312759,-24.74052926,291.5451895,7.59,0.2664706,M1/M2III    ,1.63
50283,69184,123944, , ,,,14.16236789,37.33001889,84.74576271,7.59,2.949410037,F0          ,0.357
50309,69222,123849, , ,,,14.1721685,-14.22089686,304.8780488,7.59,0.169369219,G8IIICNvar  ,0.874
50609,69643,124239, , ,,,14.25394578,-67.65829262,55.71030641,7.59,3.860322265,F8/G0V      ,0.564
51362,70804,126360, , ,,,14.48034048,-71.59026852,282.4858757,7.59,0.33501631,K3III       ,1.485
51974,71754,129134, , ,,,14.67731012,8.97809696,309.5975232,7.59,0.136012612,K0          ,1.093
52841,73030,131574, , ,,,14.92501527,-37.16153452,112.6126126,7.59,2.332064829,F2V         ,0.412
52867,73064,131789, , ,,,14.93144251,-13.90067257,270.2702703,7.59,0.43100862,F2IV        ,0.325
53222,73579,132783, , ,,,15.03933269,-41.69055,246.3054187,7.59,0.632630168,K4III       ,1.444
53724,74316,135244, , ,,,15.19003346,59.05389255,273.2240437,7.59,0.407405427,K5          ,1.409
53731,74328,134754, , ,,,15.19164356,2.82843795,125.1564456,7.59,2.102733897,A5          ,0.211
54411,75331,136890, , ,,,15.39203187,-14.35176813,63.85696041,7.59,3.563958789,K1VCN...    ,1.076
54633,75673,137666, , ,,,15.46066527,-8.94807345,130.3780965,7.59,2.01397682,K0          ,1.08
54771,75875,138214, , ,,,15.49837469,23.81716207,126.4222503,7.59,2.080882417,A2          ,0.194
55096,76368,139086, , ,,,15.59751442,12.91629477,82.03445447,7.59,3.020018528,F8          ,0.591
55343,76708,139646, , ,,,15.66368176,-14.0557203,168.3501684,7.59,1.458932225,K0III       ,1.189
55385,76769,139939, , ,,,15.67457149,18.67143235,213.2196162,7.59,0.945864214,A2          ,0.242
55413,76811,139004, , ,,,15.68319919,-71.74476832,757.5757576,7.59,-1.807130344,B9III       ,-0.035
55592,77077,140419, , ,,,15.73824647,-24.39540342,142.6533524,7.59,1.81859009,A2m...      ,0.287
56426,78358,142892, , ,,,15.99856803,-56.81130855,215.9827214,7.59,0.917904955,A0IV/V      ,0.195
56515,78475,143235, , ,,,16.0195048,-46.53826726,109.2896175,7.59,2.39710547,F6V         ,0.505
57111,79327,145729, , ,,,16.18994379,28.43870117,45.14672686,7.59,4.316868653,F8          ,0.555
57318,79628,145812, , ,,,16.24896635,-45.99153478,111.2347052,7.59,2.358798459,F2III       ,0.356
57550,79975,147062, , ,,,16.32386842,5.53817335,65.35947712,7.59,3.513457154,G0          ,0.626
57849,80406,148052, , ,,,16.41256496,22.38298429,140.2524544,7.59,1.855447649,A2          ,0.212
58369,81167,150099, , ,,,16.57811397,63.93494469,174.8251748,7.59,1.376980144,K0          ,0.962
58631,81552,149981, , ,,,16.65575915,-30.46474846,96.61835749,7.59,2.664701749,G2/G3V      ,0.611
58795,81768,150618, , ,,,16.70203307,1.24175793,74.18397626,7.59,3.238449461,F2          ,0.4
58842,81834,150889, , ,,,16.71529584,25.8549695,317.4603175,7.59,0.081552769,K2III       ,1.165
58994,82032,150139, , ,,,16.75744297,-71.83994715,54.2888165,7.59,3.916448129,F8V         ,0.539
59167,82276,151766, , ,,,16.8118687,18.31887132,108.1081081,7.59,2.420708664,F8          ,0.558
59182,82296,151066, , ,,,16.81558059,-61.38861664,163.132137,7.59,1.527302373,A0V         ,0.043
59401,82594,151988, , ,,,16.88438112,-47.24025919,197.2386588,7.59,1.115039797,B8V         ,0.123
59417,82615,152531, , ,,,16.88921561,15.40808869,272.479564,7.59,0.413330321,A0          ,0.034
59583,82839,152657, , ,,,16.9289938,-25.53389877,361.0108303,7.59,-0.197601155,B8II        ,0.036
59820,83178,153562, , ,,,17.00017454,9.79800703,236.4066194,7.59,0.721701837,A0          ,0.091
60429,83991,155195, , ,,,17.16954266,-0.76016847,216.9197397,7.59,0.908504627,A0          ,0.266
60560,84176,154775, , ,,,17.20702361,-66.60958126,418.4100418,7.59,-0.518010495,K5/M0III    ,1.576
60852,84590,156984, , ,,,17.29146139,55.05638059,205.338809,7.59,1.027644806,K0          ,1.24
61158,84997,156853, , ,,,17.37327611,-49.76170378,341.2969283,7.59,-0.075661898,Ap...       ,-0.035
61255,85132,157336, , ,,,17.39833096,-29.82106611,79.61783439,7.59,3.084948197,K0IV/V      ,0.92
61806,85869,159241, , ,,,17.54726169,19.08628627,290.6976744,7.59,0.272792213,K5          ,1.548
61875,85968,158890, , ,,,17.56991258,-48.4685696,297.6190476,7.59,0.221696387,M3/M4III    ,1.634
62460,86770,160197, , ,,,17.73063689,-67.40286025,396.8253968,7.59,-0.402997296,M1III       ,1.684
62587,86944,161572, , ,,,17.76585216,5.69445645,215.5172414,7.59,0.922589903,B6V         ,-0.005
